,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
7231,345,internal,C,d,C->BC,C,B,0.359705435596414,0.865093060203586,931
7232,365,internal,C,d,C->BC,C,B,0.629223862962685,0.824618377537315,931
7233,7,tip,B,d,B->AB,B,A,0.293361014558852,0.0675552912411482,932
7234,146,tip,C,d,C->BC,C,B,0.192591447114216,0.118654954585784,932
7235,162,tip,C,d,C->AC,C,A,0.0802646458143074,0.664340407785693,932
7236,169,tip,C,d,C->BC,C,B,0.364387028280065,0.135790094319935,932
7237,195,internal,AB,d,AB->ABC,A,C,11.6661367137597,29.9449895562403,932
7238,252,internal,B,d,B->AB,B,A,0.177169324347775,0.663484088752225,932
7239,341,internal,C,d,C->BC,C,B,0.182659432935603,0.358265676764397,932
7240,7,tip,B,d,B->AB,B,A,0.185938826404371,0.174977479395629,933
7241,162,tip,C,d,C->AC,C,A,0.583456788963759,0.161148264636241,933
7242,169,tip,C,d,C->BC,C,B,0.104394666486441,0.395782456113559,933
7243,195,internal,A,d,A->AB,A,B,4.20715811296756,37.4039681570324,933
7244,195,internal,AB,d,AB->ABC,A,C,27.823736149729,13.787390120271,933
7245,201,internal,A,d,A->AB,A,B,0.552447490042835,3.02419851885717,933
7246,252,internal,B,d,B->AB,B,A,0.383913246022005,0.456740167077995,933
7247,346,internal,C,d,C->BC,C,B,0.0155855999650544,0.736703944134945,933
7248,7,tip,B,d,B->AB,B,A,0.154327810987697,0.206588494812303,934
7249,146,tip,C,d,C->BC,C,B,0.307568404555184,0.00367799714481604,934
7250,162,tip,C,d,C->AC,C,A,0.224577620661918,0.520027432938082,934
7251,169,tip,C,d,C->BC,C,B,0.152338490743216,0.347838631856784,934
7252,201,internal,A,d,A->AB,A,B,0.24611119113026,3.33053481776974,934
7253,251,internal,B,d,B->AB,B,A,0.145307271078548,1.24493457242145,934
7254,294,internal,AB,d,AB->ABC,B,C,0.402536589625622,3.50368463737438,934
7255,7,tip,B,d,B->AB,B,A,0.309841735986768,0.0510745698132319,935
7256,52,tip,A,d,A->AB,A,B,0.10160195311576,0.27764125988424,935
