,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
116,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,6
117,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,6
118,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,6
119,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,6
120,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,6
121,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,6
122,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,6
123,239,internal,3,founder (j),B->B,A,B,A,1.1196268,240,43,6
124,243,internal,3,founder (j),B->B,A,B,A,0.451998,244,42,6
125,244,internal,3,founder (j),B->B,A,B,A,0.3460421,40,41,6
126,255,internal,3,founder (j),B->A,B,B,A,1.9759907,256,260,6
127,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,6
128,276,internal,2,founder (j),A->A,B,A,B,3.9062213,277,294,6
129,295,internal,3,founder (j),B->B,C,B,C,0.8551954,296,100,6
130,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,6
131,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,6
132,339,internal,4,founder (j),C->B,C,C,B,0.7340732,340,143,6
133,340,internal,3,founder (j),B->C,B,B,C,0.5409251,341,142,6
134,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,6
135,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,6
136,346,internal,4,founder (j),C->C,B,C,B,0.5079573,347,148,6
137,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,6
138,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,6
139,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,6
140,194,root,3,founder (j),B->B,A,B,A,41.6111262,195,193,7
141,200,internal,2,founder (j),A->A,C,A,C,3.576646,201,261,7
142,201,internal,2,founder (j),A->B,A,A,B,2.7486633,202,255,7
143,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,7
144,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,7
145,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,7
146,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,7
147,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,7
148,230,internal,3,founder (j),B->B,A,B,A,1.6770867,231,239,7
149,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,7
150,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,7
151,240,internal,2,founder (j),A->B,A,A,B,0.6166606,241,243,7
152,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,7
153,252,internal,3,founder (j),B->A,B,B,A,0.3792432,253,52,7
154,255,internal,2,founder (j),A->A,B,A,B,1.9759907,256,260,7
155,294,internal,6,founder (j),AC->AC,B,A,B,1.61557,295,101,7
156,296,internal,2,founder (j),A->A,B,A,B,0.268087,297,99,7
157,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,7
158,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,7
159,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,7
160,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,7
161,344,internal,4,founder (j),C->C,B,C,B,1.2247985,345,348,7
162,345,internal,4,founder (j),C->B,C,C,B,0.7522895,346,149,7
163,346,internal,3,founder (j),B->C,B,B,C,0.5079573,347,148,7
164,348,internal,3,founder (j),B->C,B,B,C,0.5832148,349,152,7
165,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,7
166,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,7
167,197,internal,2,founder (j),A->B,A,A,B,5.2924342,198,298,8
168,198,internal,3,founder (j),B->A,B,B,A,4.635175,199,276,8
169,199,internal,2,founder (j),A->B,A,A,B,4.496827,200,269,8
170,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,8
171,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,8
172,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,8
173,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,8
174,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,8
175,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,8
176,239,internal,3,founder (j),B->B,A,B,A,1.1196268,240,43,8
177,240,internal,3,founder (j),B->B,A,B,A,0.6166606,241,243,8
178,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,8
179,251,internal,3,founder (j),B->A,B,B,A,0.8406534,252,254,8
180,255,internal,3,founder (j),B->A,B,B,A,1.9759907,256,260,8
181,261,internal,3,founder (j),B->C,B,B,C,3.2356109,262,266,8
182,267,internal,3,founder (j),B->B,C,B,C,1.4937886,67,68,8
183,276,internal,3,founder (j),B->A,B,B,A,3.9062213,277,294,8
184,295,internal,3,founder (j),B->B,C,B,C,0.8551954,296,100,8
185,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,8
186,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,8
187,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,8
188,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,8
189,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,8
190,344,internal,4,founder (j),C->C,B,C,B,1.2247985,345,348,8
191,348,internal,3,founder (j),B->C,B,B,C,0.5832148,349,152,8
192,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,8
193,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,8
194,196,internal,2,founder (j),A->A,B,A,B,6.3232275,197,138,9
195,198,internal,2,founder (j),A->A,B,A,B,4.635175,199,276,9
196,200,internal,2,founder (j),A->A,C,A,C,3.576646,201,261,9
197,202,internal,2,founder (j),A->A,B,A,B,2.2054204,203,229,9
198,214,internal,3,founder (j),B->B,C,B,C,0.76778,215,220,9
199,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,9
200,220,internal,4,founder (j),C->C,B,C,B,0.6232862,16,17,9
201,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,9
202,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,9
203,230,internal,3,founder (j),B->B,A,B,A,1.6770867,231,239,9
204,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,9
205,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,9
206,240,internal,2,founder (j),A->B,A,A,B,0.6166606,241,243,9
207,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,9
208,255,internal,2,founder (j),A->A,B,A,B,1.9759907,256,260,9
209,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,9
210,276,internal,3,founder (j),B->A,B,B,A,3.9062213,277,294,9
211,295,internal,3,founder (j),B->B,C,B,C,0.8551954,296,100,9
212,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,9
213,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,9
214,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,9
215,341,internal,4,founder (j),C->B,C,C,B,0.3265551,342,141,9
216,342,internal,3,founder (j),B->B,C,B,C,0.1590774,139,140,9
217,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,9
218,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,9
219,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,9
220,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,9
221,195,internal,4,founder (j),C->A,C,C,A,6.9218299,196,333,10
222,199,internal,2,founder (j),A->B,A,A,B,4.496827,200,269,10
223,200,internal,3,founder (j),B->B,C,B,C,3.576646,201,261,10
224,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,10
225,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,10
226,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,10
227,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,10
228,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,10
229,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,10
230,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,10
231,239,internal,3,founder (j),B->B,A,B,A,1.1196268,240,43,10
232,240,internal,3,founder (j),B->B,A,B,A,0.6166606,241,243,10
233,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,10
234,245,internal,3,founder (j),B->B,A,B,A,1.3902419,246,251,10
235,255,internal,3,founder (j),B->A,B,B,A,1.9759907,256,260,10
236,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,10
237,276,internal,2,founder (j),A->A,B,A,B,3.9062213,277,294,10
238,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,10
239,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,10
240,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,10
241,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,10
242,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,10
243,346,internal,4,founder (j),C->C,B,C,B,0.5079573,347,148,10
244,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,10
245,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,10
246,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,10
247,199,internal,2,founder (j),A->B,A,A,B,4.496827,200,269,11
248,200,internal,3,founder (j),B->B,C,B,C,3.576646,201,261,11
249,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,11
250,204,internal,3,founder (j),B->B,A,B,A,1.3827041,205,221,11
251,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,11
252,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,11
253,227,internal,2,founder (j),A->B,A,A,B,0.5946518,24,25,11
254,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,11
255,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,11
256,239,internal,3,founder (j),B->B,A,B,A,1.1196268,240,43,11
257,243,internal,3,founder (j),B->B,A,B,A,0.451998,244,42,11
258,244,internal,3,founder (j),B->B,A,B,A,0.3460421,40,41,11
259,255,internal,3,founder (j),B->A,B,B,A,1.9759907,256,260,11
260,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,11
261,276,internal,2,founder (j),A->A,B,A,B,3.9062213,277,294,11
262,295,internal,3,founder (j),B->B,C,B,C,0.8551954,296,100,11
263,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,11
264,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,11
265,338,internal,4,founder (j),C->C,B,C,B,1.702078,339,343,11
266,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,11
267,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,11
268,343,internal,3,founder (j),B->B,C,B,C,0.7205464,144,145,11
269,346,internal,4,founder (j),C->C,B,C,B,0.5079573,347,148,11
270,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,11
271,350,internal,4,founder (j),C->B,C,C,B,1.2871198,351,353,11
272,351,internal,3,founder (j),B->B,C,B,C,0.966689,352,155,11
273,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,11
274,202,internal,2,founder (j),A->A,B,A,B,2.2054204,203,229,12
275,203,internal,2,founder (j),A->B,A,A,B,1.6275389,204,228,12
276,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,12
277,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,12
278,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,12
279,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,12
280,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,12
281,240,internal,2,founder (j),A->B,A,A,B,0.6166606,241,243,12
282,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,12
283,255,internal,2,founder (j),A->A,B,A,B,1.9759907,256,260,12
284,266,internal,4,founder (j),C->B,C,C,B,1.6837506,267,268,12
285,267,internal,3,founder (j),B->B,C,B,C,1.4937886,67,68,12
286,295,internal,5,founder (j),AB->AB,C,A,C,0.8551954,296,100,12
287,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,12
288,341,internal,3,founder (j),B->B,C,B,C,0.3265551,342,141,12
289,342,internal,3,founder (j),B->B,C,B,C,0.1590774,139,140,12
290,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,12
291,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,12
292,350,internal,4,founder (j),C->B,C,C,B,1.2871198,351,353,12
293,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,12
294,200,internal,2,founder (j),A->A,C,A,C,3.576646,201,261,13
295,201,internal,2,founder (j),A->B,A,A,B,2.7486633,202,255,13
296,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,13
297,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,13
298,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,13
299,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,13
300,231,internal,3,founder (j),B->B,C,B,C,0.8443671,232,237,13
301,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,13
302,237,internal,4,founder (j),C->C,B,C,B,0.7430716,238,36,13
303,239,internal,3,founder (j),B->B,A,B,A,1.1196268,240,43,13
304,243,internal,3,founder (j),B->B,A,B,A,0.451998,244,42,13
305,244,internal,3,founder (j),B->B,A,B,A,0.3460421,40,41,13
306,255,internal,2,founder (j),A->A,B,A,B,1.9759907,256,260,13
307,266,internal,4,founder (j),C->B,C,C,B,1.6837506,267,268,13
308,267,internal,3,founder (j),B->B,C,B,C,1.4937886,67,68,13
309,276,internal,3,founder (j),B->A,B,B,A,3.9062213,277,294,13
310,295,internal,3,founder (j),B->B,C,B,C,0.8551954,296,100,13
311,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,13
312,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,13
313,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,13
314,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,13
315,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,13
316,346,internal,4,founder (j),C->C,B,C,B,0.5079573,347,148,13
317,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,13
318,350,internal,4,founder (j),C->C,A,C,A,1.2871198,351,353,13
319,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,13
320,353,internal,2,founder (j),A->A,C,A,C,0.5783452,156,157,13
321,200,internal,2,founder (j),A->A,C,A,C,3.576646,201,261,14
322,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,14
323,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,14
324,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,14
325,222,internal,3,founder (j),B->A,B,B,A,0.9419612,223,225,14
326,223,internal,2,founder (j),A->B,A,A,B,0.4909459,224,20,14
327,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,14
328,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,14
329,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,14
330,239,internal,3,founder (j),B->B,A,B,A,1.1196268,240,43,14
331,240,internal,3,founder (j),B->B,A,B,A,0.6166606,241,243,14
332,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,14
333,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,14
334,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,14
335,336,internal,4,founder (j),C->C,A,C,A,2.0695411,337,350,14
336,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,14
337,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,14
338,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,14
339,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,14
340,350,internal,2,founder (j),A->C,A,A,C,1.2871198,351,353,14
341,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,14
342,353,internal,2,founder (j),A->A,C,A,C,0.5783452,156,157,14
343,195,internal,4,founder (j),C->B,C,C,B,6.9218299,196,333,15
344,196,internal,3,founder (j),B->A,B,B,A,6.3232275,197,138,15
345,199,internal,2,founder (j),A->B,A,A,B,4.496827,200,269,15
346,200,internal,3,founder (j),B->B,C,B,C,3.576646,201,261,15
347,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,15
348,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,15
349,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,15
350,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,15
351,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,15
352,230,internal,3,founder (j),B->B,A,B,A,1.6770867,231,239,15
353,232,internal,3,founder (j),B->C,B,B,C,0.5890819,233,33,15
354,233,internal,4,founder (j),C->C,B,C,B,0.5509269,234,236,15
355,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,15
356,240,internal,2,founder (j),A->B,A,A,B,0.6166606,241,243,15
357,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,15
358,251,internal,3,founder (j),B->A,B,B,A,0.8406534,252,254,15
359,255,internal,3,founder (j),B->A,B,B,A,1.9759907,256,260,15
360,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,15
361,276,internal,2,founder (j),A->A,B,A,B,3.9062213,277,294,15
