AB->A,B	ABC->A,BC	ABC->B,AC	ABC->C,AB	AC->A,C	BC->B,C
344	1	0	0	0	1	1
345	1	0	0	1	1	0
346	2	0	0	1	0	0
347	3	0	0	1	0	1
348	1	0	0	1	0	1
349	1	0	0	1	0	0
350	3	0	0	1	1	0
351	0	0	0	0	1	1
352	1	0	0	1	0	1
353	0	0	0	0	3	0
354	2	0	0	1	0	1
355	0	0	0	0	2	2
356	1	0	0	1	0	1
357	3	0	0	1	3	0
358	1	0	0	1	1	1
359	2	0	0	1	0	3
360	1	0	0	0	2	1
361	2	0	0	1	0	1
362	2	0	0	1	0	0
363	0	0	0	0	1	2
364	1	0	0	1	0	0
365	3	0	0	1	0	2
366	1	1	0	1	0	0
367	2	0	0	1	0	0
368	3	0	0	1	0	1
369	1	1	0	0	0	1
370	5	0	0	1	0	0
371	2	0	0	1	1	1
372	0	0	0	0	1	1
373	1	0	0	0	2	0
374	1	0	0	0	2	1
375	3	0	0	2	1	0
376	2	0	0	1	0	0
377	2	1	0	0	0	2
378	1	0	0	1	0	2
379	2	0	0	1	1	0
380	2	0	0	1	0	0
381	1	1	0	1	2	1
382	0	0	0	0	2	0
383	2	0	0	1	0	0
384	2	0	0	1	1	1
385	2	0	0	1	0	0
386	2	0	0	1	0	1
387	4	0	0	2	0	0
388	1	0	0	1	0	0
389	1	0	0	1	1	1
390	2	0	0	0	2	2
391	2	0	0	1	0	0
392	2	0	0	1	0	0
393	3	0	0	2	0	0
394	3	0	0	1	0	1
395	2	0	0	1	0	0
396	3	0	0	1	1	0
397	0	1	0	0	1	1
398	1	0	0	0	2	1
399	0	0	1	0	3	0
400	2	0	0	1	0	0
401	0	0	0	0	1	1
402	3	0	0	0	1	1
403	1	0	0	0	0	0
404	3	0	0	1	0	1
405	3	0	0	1	1	0
406	1	0	0	1	1	0
407	1	0	0	1	0	1
408	1	0	0	1	0	0
409	2	0	0	1	0	0
410	2	0	1	0	1	2
411	2	0	0	1	0	0
412	3	0	0	1	0	1
413	1	0	0	1	1	1
414	1	0	0	1	1	0
415	2	0	0	1	1	0
416	3	1	0	1	0	1
417	1	0	0	0	2	0
418	1	0	0	1	1	0
419	1	0	0	1	0	2
420	1	0	0	1	0	0
421	2	0	0	1	0	1
422	2	0	0	0	1	1
423	1	0	0	0	2	1
424	2	0	0	1	1	0
425	1	1	0	0	0	1
426	1	0	0	1	1	1
427	2	0	0	1	0	0
428	0	0	0	0	1	2
429	2	0	0	1	0	0
430	2	0	0	1	0	0
431	2	0	0	1	0	0
432	3	0	0	1	0	0
433	1	0	0	1	0	1
434	1	0	1	0	2	0
435	1	0	0	1	0	0
436	2	0	0	1	1	1
437	1	0	0	0	1	0
438	3	0	0	1	1	0
439	1	0	0	1	0	0
440	2	0	0	0	1	1
441	1	0	0	1	0	1
442	1	0	0	1	0	0
443	2	1	0	0	0	1
444	2	0	0	1	0	0
445	0	0	0	0	1	1
446	0	0	0	0	0	1
447	0	1	1	0	0	3
448	1	0	0	1	0	0
449	5	0	0	1	0	2
450	1	0	0	1	1	0
451	0	0	1	1	1	1
452	4	0	0	1	1	0
453	1	0	0	0	0	1
454	1	0	0	1	0	0
455	1	0	0	1	0	0
456	1	0	0	1	0	0
457	1	0	0	1	0	2
458	1	0	0	1	0	1
459	1	1	0	0	0	1
460	3	0	1	1	0	0
461	2	0	0	1	0	0
462	1	0	0	1	0	0
463	2	1	0	1	0	1
464	2	0	0	1	0	0
465	0	0	0	0	1	1
466	2	1	0	1	0	1
467	2	0	0	1	0	0
468	1	0	0	1	1	1
469	1	0	0	1	0	0
470	1	0	0	2	0	0
471	2	0	0	1	0	1
472	1	0	0	1	0	0
473	2	0	0	1	0	2
474	3	0	0	2	0	1
475	0	0	1	0	1	1
476	3	0	0	1	1	0
477	2	0	0	1	0	0
478	1	0	0	1	0	0
479	2	0	0	1	0	2
480	1	0	0	1	0	0
481	2	0	0	1	0	2
482	2	0	0	1	0	0
483	0	0	0	0	1	1
484	1	0	0	1	0	0
485	5	0	0	1	0	0
486	2	0	0	1	0	1
487	1	1	0	1	0	2
488	1	0	0	1	0	0
489	1	0	0	1	0	0
490	1	0	0	1	0	1
491	3	0	0	1	0	1
492	2	0	0	1	0	0
493	1	0	0	1	0	3
494	1	0	0	1	0	0
495	2	0	0	1	1	0
496	2	0	0	2	1	0
497	1	0	0	1	1	2
498	2	0	0	2	0	2
499	3	0	0	1	0	0
500	1	0	0	1	1	1
501	1	1	0	0	0	2
502	2	0	0	1	0	0
503	1	0	0	0	1	0
504	2	0	0	1	0	0
505	1	0	0	0	0	1
506	2	0	0	1	0	0
507	1	1	1	1	0	0
508	3	0	0	1	1	1
509	2	0	0	1	0	2
510	2	1	0	1	0	1
511	1	0	0	1	1	0
512	1	0	0	1	0	0
513	2	0	0	1	0	1
514	2	0	0	1	0	0
515	3	0	0	2	0	0
516	2	0	0	1	1	3
517	3	0	0	1	0	1
518	1	0	0	0	0	3
519	2	0	0	1	0	1
520	1	0	0	1	0	1
521	0	0	0	0	1	1
522	5	0	0	1	0	0
523	1	0	0	0	1	0
524	1	1	0	0	0	1
525	2	0	0	1	0	0
526	1	0	2	0	1	0
527	2	0	0	1	0	2
528	1	0	0	1	0	1
529	1	0	0	1	0	0
530	3	0	0	1	0	0
531	2	0	0	1	0	0
532	1	0	0	1	0	0
533	2	1	0	0	0	1
534	1	0	0	0	1	1
535	2	0	0	0	1	0
536	2	0	0	1	0	1
537	1	0	0	0	1	1
538	1	0	0	1	0	0
539	2	0	0	1	0	3
540	1	0	0	1	0	0
541	2	0	0	1	0	0
542	2	0	0	1	0	0
543	1	0	0	1	0	0
544	2	0	0	1	1	0
545	1	1	0	1	0	0
546	1	0	0	1	0	0
547	3	1	0	1	0	1
548	2	0	0	0	0	1
549	4	0	0	2	1	1
550	1	0	0	1	0	0
551	2	0	0	0	1	0
552	4	0	0	1	0	1
553	1	0	0	1	0	2
554	1	0	0	1	0	0
555	0	0	0	0	1	0
556	1	0	0	1	0	1
557	1	0	0	1	0	0
558	1	0	0	2	1	0
559	2	0	0	1	0	0
560	1	0	0	1	0	0
561	3	0	0	1	0	1
562	1	0	0	0	1	1
563	2	0	0	1	1	3
564	1	0	0	1	1	2
565	1	0	0	1	1	1
566	3	0	0	1	0	0
567	1	0	0	1	0	2
568	2	0	0	1	0	1
569	3	0	0	1	0	1
570	3	0	0	1	1	2
571	2	0	0	1	1	0
572	2	0	0	1	0	1
573	1	1	0	1	0	0
574	1	0	0	1	1	1
575	2	0	0	1	0	2
576	1	0	0	1	0	0
577	2	0	0	1	0	1
578	1	0	0	1	0	0
579	3	0	0	1	0	0
580	1	0	0	1	0	0
581	4	0	0	1	0	0
582	1	0	0	0	0	0
583	2	0	0	1	1	1
584	2	0	0	1	0	1
585	4	0	0	2	0	1
586	1	0	0	1	0	0
587	2	0	0	1	0	1
588	2	0	0	1	0	0
589	2	0	0	1	2	0
590	1	1	0	0	0	1
591	3	0	0	1	0	1
592	2	0	0	1	0	1
593	1	0	0	1	0	0
594	3	0	0	1	0	2
595	3	1	0	0	0	3
596	0	0	0	0	1	1
597	1	0	0	0	0	3
598	2	0	0	1	0	0
599	1	0	0	1	0	0
600	1	0	0	1	1	0
601	2	0	0	1	0	1
602	1	0	0	1	0	0
603	0	0	0	0	0	0
604	4	0	0	1	0	0
605	3	0	0	1	0	1
