A->A,A	B->B,B	C->C,C
750	67	35	54
751	70	37	51
752	68	40	53
753	68	40	52
754	66	38	53
755	69	39	49
756	69	38	51
757	69	34	52
758	71	37	54
759	69	40	55
760	68	38	53
761	74	33	54
762	67	38	54
763	69	40	54
764	65	40	54
765	70	37	55
766	69	37	51
767	66	38	55
768	70	39	53
769	70	34	51
770	70	36	55
771	67	38	53
772	72	34	53
773	67	36	53
774	70	38	55
775	69	41	50
776	68	40	54
777	70	37	52
778	73	35	54
779	73	32	54
780	71	38	53
781	68	40	54
782	70	37	53
783	71	36	54
784	69	40	52
785	71	37	54
786	70	37	52
787	70	39	54
788	68	39	51
789	69	36	55
790	73	35	55
791	70	35	53
792	73	32	54
793	74	33	53
794	68	39	52
795	72	35	55
796	71	39	51
797	65	41	53
798	64	35	53
799	67	39	55
800	72	29	52
801	73	34	54
802	72	33	53
803	70	33	52
804	65	43	53
805	65	41	53
806	65	40	53
807	69	39	53
808	75	31	54
809	65	40	55
810	71	35	45
811	69	34	50
812	70	38	53
813	68	36	54
814	68	38	52
815	68	39	53
816	72	33	54
817	71	37	49
818	71	38	53
819	70	35	52
820	67	39	54
821	65	35	54
822	67	39	52
823	69	39	55
824	74	33	55
825	72	33	54
826	71	36	55
827	71	36	54
828	70	36	55
829	71	35	53
830	71	32	53
831	70	36	54
832	68	36	55
833	72	36	52
834	69	37	55
835	68	35	53
836	70	37	53
837	71	37	52
838	71	37	55
839	68	39	55
840	72	36	54
841	65	41	55
842	68	40	54
843	71	36	54
844	69	35	53
845	67	40	55
846	71	35	53
847	67	38	50
848	66	39	53
849	68	40	51
850	68	37	53
851	65	40	51
852	68	41	51
853	71	37	51
854	74	35	53
855	69	36	51
856	66	37	53
857	69	36	53
858	69	39	53
859	70	35	53
860	69	39	54
861	75	32	53
862	65	36	54
863	73	35	54
864	74	34	52
865	69	40	55
866	70	38	54
867	73	34	51
868	66	40	55
869	68	39	53
870	68	36	51
871	70	34	53
872	67	37	53
873	71	37	50
874	70	40	51
875	69	37	52
876	68	38	55
877	68	40	53
878	69	39	52
879	68	41	51
880	69	39	54
881	69	38	52
882	69	37	53
883	66	40	50
884	67	36	51
885	66	41	51
886	68	40	55
887	66	41	52
888	70	39	54
889	65	34	55
890	69	38	54
891	70	37	55
892	67	37	52
893	67	41	55
894	66	39	51
895	68	40	52
896	67	38	52
897	70	38	51
898	72	35	54
899	69	34	51
900	70	40	51
901	70	37	54
902	68	36	54
903	72	36	53
904	70	39	55
905	72	33	55
906	67	35	55
907	70	38	50
908	70	38	53
909	69	38	53
910	68	36	53
911	67	39	54
912	68	41	53
913	69	39	52
914	67	38	51
915	70	37	53
916	71	33	53
917	70	38	51
918	73	34	53
919	73	35	55
920	66	40	53
921	73	35	53
922	68	37	55
923	69	39	52
924	67	34	53
925	69	35	53
926	70	37	52
927	68	39	53
928	66	36	52
929	73	32	51
930	70	37	52
931	69	37	49
932	69	39	54
933	71	37	54
934	68	36	53
935	74	33	55
936	70	36	52
937	71	34	53
938	65	40	52
939	68	39	54
940	67	39	52
941	69	38	51
942	72	36	52
943	69	37	52
944	73	34	53
945	69	38	53
946	71	37	54
947	67	36	54
948	68	34	53
949	71	37	55
950	66	39	54
951	69	36	54
952	68	33	54
953	67	38	54
954	70	36	49
955	72	35	55
956	67	38	51
957	70	37	52
958	69	39	53
959	71	36	54
960	68	38	53
961	71	38	55
962	68	39	51
963	66	37	53
964	69	39	54
965	66	39	55
966	70	39	55
967	67	39	55
968	73	34	52
969	69	39	52
970	70	38	53
971	66	39	56
972	67	38	50
973	70	37	54
974	69	39	54
975	69	39	53
976	66	40	54
977	73	32	52
978	68	41	51
979	68	40	52
980	70	38	55
981	72	35	55
982	68	34	54
983	71	36	55
984	67	39	54
985	71	37	54
986	68	37	53
987	69	38	53
988	68	37	52
989	71	35	50
990	68	37	50
991	68	32	54
992	69	36	54
993	67	37	52
994	72	32	54
995	70	34	53
996	70	37	53
997	67	39	53
998	68	39	55
999	70	38	50
1000	67	39	54
