AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
212	3	1	0	0	0	0	0	1	3
213	2	1	0	0	0	1	0	0	0
214	0	0	0	0	0	1	0	1	2
215	5	3	0	0	0	0	0	0	1
216	2	0	0	0	0	0	3	1	1
217	2	0	0	0	0	0	0	1	2
218	3	3	0	0	0	0	0	0	0
219	0	0	1	0	0	0	0	0	0
220	3	4	0	0	0	0	0	0	0
221	2	1	0	0	1	2	0	0	0
222	0	0	0	0	0	0	1	0	0
223	1	0	0	0	0	0	0	1	6
224	3	4	0	0	0	1	0	1	2
225	1	1	1	0	0	0	0	2	2
226	1	2	0	0	0	0	0	1	2
227	6	2	1	0	0	0	0	1	0
228	1	0	0	0	0	0	0	0	0
229	1	0	0	0	0	0	0	0	0
230	0	0	0	0	0	0	0	1	0
231	2	4	0	0	0	0	0	0	0
232	3	1	0	0	0	0	0	1	3
233	0	1	0	0	0	0	0	1	2
234	1	2	1	0	0	0	0	0	0
235	0	2	0	0	0	0	0	1	1
236	2	1	0	0	0	1	0	0	1
237	2	3	0	1	0	0	0	1	1
238	1	3	0	0	0	0	0	0	1
239	0	0	0	0	0	0	0	0	0
240	1	3	0	0	0	0	0	1	2
241	2	2	3	1	1	0	0	1	1
242	2	5	0	0	0	0	0	0	1
243	2	3	2	1	1	1	0	2	3
244	3	2	0	0	0	1	0	0	0
245	2	2	0	0	0	0	0	1	2
246	1	1	0	0	0	0	0	1	1
247	1	1	0	0	0	0	2	0	0
248	3	2	2	2	1	0	0	0	2
249	1	0	0	0	0	0	0	0	0
250	4	1	0	0	0	0	0	1	1
251	1	0	1	0	0	0	0	0	1
252	0	1	0	0	0	0	0	1	2
253	3	1	0	0	0	0	0	0	0
254	1	0	0	0	0	0	0	0	0
255	4	1	1	0	0	0	0	1	1
256	4	0	0	0	0	0	0	0	1
257	1	0	0	0	0	1	1	2	1
258	2	4	0	0	0	1	0	2	2
259	1	0	1	0	0	0	0	1	1
260	2	3	0	0	0	0	0	1	2
261	0	0	0	0	0	0	0	0	2
262	0	0	0	0	0	0	0	5	3
263	1	2	0	0	0	0	0	1	1
264	2	0	0	0	0	0	0	1	0
265	1	2	0	0	0	1	0	0	2
266	2	3	0	0	0	1	0	1	1
267	2	2	0	0	0	0	0	0	1
268	1	0	0	0	0	0	0	1	3
269	2	0	0	0	0	0	0	0	0
270	1	0	0	0	0	0	0	1	1
