,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
217,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,42
218,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,43
219,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,43
220,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,43
221,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,43
222,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,43
223,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,44
224,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,44
225,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,44
226,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,44
227,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,44
228,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,45
229,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,45
230,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,45
231,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,45
232,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,45
233,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,46
234,77,internal,6,founder (j),AC->AC,B,A,B,1.0095247,78,14,46
235,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,46
236,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,47
237,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,47
238,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,47
239,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,47
240,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,48
241,76,internal,4,founder (j),C->B,C,C,B,1.0402374,77,15,48
242,77,internal,3,founder (j),B->C,B,B,C,1.0095247,78,14,48
243,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,48
244,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,48
245,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,48
246,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,49
247,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,49
248,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,49
249,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,49
250,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,49
251,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,50
