,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
949,9,tip,B,d,B->AB,B,A,0.0219901201764412,0.482690393023559,612
950,25,internal,B,d,B->BC,B,C,0.0402185145112823,1.64657358242872,612
951,9,tip,B,d,B->AB,B,A,0.164077008832118,0.340603504367882,613
952,9,tip,B,d,B->AB,B,A,0.0350228428655977,0.469657670334402,614
953,9,tip,B,d,B->AB,B,A,0.248078717241595,0.256601795958405,615
954,41,internal,B,d,B->AB,B,A,1.01565427270452,0.392860655295476,615
955,9,tip,B,d,B->AB,B,A,0.397741978946497,0.106938534253503,616
956,9,tip,B,d,B->AB,B,A,0.23998601614099,0.26469449705901,617
957,9,tip,B,d,B->AB,B,A,0.294155043144801,0.210525470055199,618
958,37,internal,A,d,A->AB,A,B,0.137636806270757,1.27087811692924,618
959,9,tip,B,d,B->AB,B,A,0.39402636985418,0.11065414334582,619
960,9,tip,B,d,B->AB,B,A,0.0267705953412738,0.477909917858726,620
961,9,tip,B,d,B->AB,B,A,0.0419368764494861,0.462743636750514,621
962,9,tip,A,d,A->AB,A,B,0.244160864562901,0.260519648637099,622
963,36,internal,B,d,B->AB,B,A,0.601090004615444,2.72971109538456,622
964,41,internal,B,d,B->AB,B,A,0.941217709078238,0.467297218921762,622
965,9,tip,B,d,B->AB,B,A,0.232439155402752,0.272241357797248,623
966,23,internal,BC,d,BC->ABC,B,A,0.639332410909337,6.65335051109066,623
967,9,tip,B,d,B->AB,B,A,0.261720249517969,0.242960263682031,624
968,41,internal,B,d,B->AB,B,A,0.859565022681694,0.548949905318306,624
969,9,tip,B,d,B->AB,B,A,0.47006397211987,0.0346165410801299,625
970,23,internal,A,d,A->AB,A,B,2.33211663327582,4.96056628872418,625
971,9,tip,B,d,B->AB,B,A,0.0346427916869982,0.470037721513002,626
972,41,internal,B,d,B->AB,B,A,0.97804269804352,0.43047222995648,626
973,9,tip,B,d,B->AB,B,A,0.304595672353364,0.200084840846636,627
974,41,internal,B,d,B->AB,B,A,0.688803940436697,0.719710987563303,627
975,9,tip,B,d,B->AB,B,A,0.167042626413634,0.337637886786366,628
976,9,tip,A,d,A->AB,A,B,0.155569320241848,0.349111192958152,629
977,41,internal,B,d,B->AB,B,A,0.322947379286152,1.08556754871385,629
978,9,tip,B,d,B->AB,B,A,0.42817997282401,0.0765005403759898,630
979,23,internal,A,d,A->AB,A,B,2.59963578789451,4.69304713410549,630
980,9,tip,B,d,B->AB,B,A,0.32271110267616,0.18196941052384,631
981,9,tip,B,d,B->AB,B,A,0.0146295992877441,0.490050913912256,632
982,36,internal,B,d,B->AB,B,A,0.442540907733565,2.88826019226644,632
983,9,tip,B,d,B->AB,B,A,0.0799299766290065,0.424750536570993,633
984,41,internal,B,d,B->AB,B,A,0.708568778026195,0.699946149973805,633
985,9,tip,B,d,B->AB,B,A,0.45139212648366,0.0532883867163396,634
986,37,internal,B,d,B->AB,B,A,0.0305081525027732,1.37800677069723,634
987,41,internal,B,d,B->AB,B,A,0.634712214314196,0.773802713685804,634
988,9,tip,B,d,B->AB,B,A,0.477157999717561,0.0275225134824389,635
989,9,tip,B,d,B->AB,B,A,0.0138522035699519,0.490828309630048,636
