,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
304,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,92
305,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,92
306,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,93
307,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,93
308,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,93
309,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,94
310,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,94
311,22,root,3,founder (j),B->B,A,B,A,7.2926829,23,21,95
312,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,95
313,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,95
314,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,95
315,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,96
316,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,96
317,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,96
318,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,97
319,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,97
320,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,98
321,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,98
322,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,98
323,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,99
324,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,99
325,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,99
326,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,100
327,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,100
328,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,100
329,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,101
330,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,101
331,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,101
332,23,internal,3,founder (j),B->B,A,B,A,3.3308011,24,36,102
333,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,102
334,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,102
335,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,102
336,23,internal,3,founder (j),B->B,A,B,A,3.3308011,24,36,103
337,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,103
338,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,103
339,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,103
340,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,104
341,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,104
342,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,104
343,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,105
344,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,105
345,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,105
