,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
227,22,root,4,founder (j),C->C,A,C,A,8.268425,23,40,34
228,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,34
229,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,34
230,32,internal,4,founder (j),C->C,B,C,B,1.8728553,33,36,34
231,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,34
232,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,34
233,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,34
234,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,34
235,23,internal,2,founder (j),A->A,B,A,B,6.9527128,24,37,35
236,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,35
237,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,35
238,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,35
239,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,35
240,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,35
241,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,35
242,23,internal,4,founder (j),C->A,C,C,A,6.9527128,24,37,36
243,24,internal,2,founder (j),A->A,B,A,B,5.1293042,25,32,36
244,25,internal,2,founder (j),A->C,A,A,C,4.7124046,26,30,36
245,26,internal,4,founder (j),C->C,A,C,A,3.17588,27,29,36
246,27,internal,4,founder (j),C->C,A,C,A,3.0362588,28,3,36
247,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,36
248,32,internal,3,founder (j),B->C,B,B,C,1.8728553,33,36,36
249,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,36
250,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,36
251,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,36
252,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,36
253,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,37
