AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
249	0	2	0	0	0	1	1	0	0
250	0	2	0	0	0	0	0	0	1
251	1	2	0	0	0	1	1	0	0
252	0	2	0	0	1	0	0	0	0
253	0	2	1	0	1	0	0	0	0
254	0	2	0	0	0	1	1	0	0
255	1	0	0	0	0	0	0	1	1
256	0	2	0	0	1	0	0	0	0
257	1	0	0	1	1	0	0	0	0
258	0	2	0	0	1	0	0	0	0
259	0	2	0	0	0	1	1	0	0
260	0	2	1	0	1	0	0	0	0
261	0	2	1	0	1	0	0	0	0
262	1	0	0	0	0	0	0	1	1
263	0	2	0	0	1	0	0	0	0
264	0	2	1	0	1	0	0	0	0
265	0	2	1	0	1	0	0	0	0
266	0	2	1	0	1	0	0	0	0
267	0	2	0	0	1	0	0	0	0
268	0	0	1	0	1	0	0	0	0
269	0	2	0	0	0	1	1	0	0
270	1	0	1	0	1	0	0	0	0
271	0	2	1	0	1	0	0	0	0
272	0	2	0	0	0	1	1	0	0
273	1	0	1	0	1	0	0	0	0
274	0	2	1	0	1	0	0	0	0
275	1	0	1	0	1	0	0	0	0
276	0	2	0	0	0	1	1	0	0
277	0	2	1	0	0	0	0	0	1
278	0	2	1	0	0	0	1	0	0
279	2	2	0	0	0	0	0	0	0
280	0	2	1	0	1	0	0	0	0
281	2	2	1	0	1	0	0	0	0
282	0	2	0	0	0	1	1	0	0
283	0	2	0	0	0	1	1	0	0
284	0	2	0	0	0	1	1	0	0
285	1	2	0	0	0	0	0	0	0
286	1	2	0	0	0	1	1	0	0
287	0	2	0	0	0	1	1	0	0
288	0	2	0	0	1	0	0	0	0
289	0	2	1	0	1	0	0	0	0
290	1	0	0	1	1	0	0	0	0
291	0	1	0	0	0	1	0	0	0
292	1	2	0	0	0	0	0	0	0
293	1	0	0	0	0	1	1	0	0
294	0	2	1	0	1	0	0	0	0
295	0	2	0	0	1	0	0	0	0
296	0	2	1	0	1	0	0	0	0
297	0	2	1	0	1	0	0	0	0
298	0	2	0	0	0	1	1	0	0
299	0	2	1	0	1	0	0	0	0
300	0	2	0	0	1	0	0	0	0
301	0	2	0	0	1	0	0	0	0
302	0	2	0	0	0	1	1	0	0
303	0	2	0	0	0	1	1	0	0
304	0	2	0	0	0	0	0	0	0
305	0	2	1	0	1	0	0	0	0
306	0	2	0	0	0	1	1	0	0
307	0	2	0	0	1	0	0	0	0
308	0	2	1	0	0	0	0	0	1
309	1	2	1	0	1	0	0	0	0
310	1	0	0	1	1	0	0	0	0
311	2	2	0	0	1	0	0	0	0
312	0	0	0	0	1	0	0	0	0
313	0	2	0	0	0	1	1	0	0
314	0	2	0	0	0	1	1	0	0
315	2	2	0	0	0	0	0	0	0
316	0	2	0	0	0	1	1	0	0
317	1	2	1	0	1	0	0	0	0
318	0	2	1	0	1	0	0	0	0
319	0	2	1	0	1	0	0	0	0
320	0	2	0	0	0	0	0	0	0
321	0	2	0	0	0	1	1	0	0
322	2	0	0	0	0	0	0	0	0
323	1	0	0	0	0	1	1	0	0
324	0	2	0	0	1	0	0	0	0
325	0	2	1	0	1	0	0	0	0
326	0	2	0	0	1	0	0	0	0
327	0	2	0	0	0	1	1	0	0
328	0	2	1	0	1	0	0	0	0
329	2	2	1	0	1	0	0	0	0
330	0	2	0	0	0	1	1	0	0
331	2	2	0	1	1	0	0	0	0
332	0	2	0	0	0	1	1	0	0
333	1	0	0	0	1	0	0	0	0
334	1	0	0	0	0	0	0	1	1
335	0	2	0	0	0	1	1	0	0
336	0	2	0	0	0	1	1	0	0
337	0	2	0	0	0	1	1	0	0
338	0	2	0	0	0	0	0	0	0
339	2	2	0	0	0	1	1	0	0
340	2	2	0	0	1	0	0	0	0
341	0	2	0	0	1	0	0	0	0
342	0	2	0	0	0	1	1	0	0
343	0	2	1	0	1	0	0	0	0
344	0	2	1	0	1	0	0	0	0
345	2	2	0	0	1	0	0	0	0
346	0	2	0	0	0	1	1	0	0
347	0	2	1	0	1	0	0	0	0
348	1	0	0	1	1	0	0	0	0
349	0	2	1	0	1	0	0	0	0
350	0	2	1	0	1	0	0	0	0
351	0	2	0	0	1	0	0	0	0
352	2	2	0	0	0	0	0	1	1
353	0	2	1	0	1	0	0	0	0
354	0	2	0	0	0	1	1	0	0
355	0	2	1	0	1	0	0	0	0
356	0	2	0	0	0	1	1	0	0
357	1	2	0	0	0	1	1	0	0
358	0	2	1	0	1	0	0	0	0
359	0	0	0	0	0	1	1	0	0
360	1	2	0	0	0	0	0	0	0
361	0	2	1	0	1	0	0	0	0
362	0	2	0	0	0	0	1	0	0
363	0	2	0	0	1	0	0	0	0
364	0	2	0	0	0	1	1	0	0
365	0	2	0	0	0	1	1	0	0
366	0	2	0	0	0	1	1	0	0
367	0	2	1	0	1	0	0	0	0
368	1	0	0	0	0	0	0	1	1
369	0	2	0	0	0	1	1	0	0
370	0	2	0	0	0	0	0	0	0
371	2	2	0	0	1	0	0	0	0
372	0	2	1	0	1	0	0	0	0
373	0	2	1	0	1	0	0	0	0
374	0	2	0	0	0	1	1	0	0
375	0	1	0	0	0	1	1	0	0
376	1	0	1	0	1	0	0	0	0
377	0	2	0	0	0	1	1	0	0
378	0	2	1	0	1	0	0	0	0
379	0	2	1	0	1	0	0	0	0
380	0	2	0	0	0	1	1	0	0
381	1	0	0	0	0	0	0	0	0
382	2	1	0	1	1	0	0	0	0
383	1	0	0	0	0	1	1	0	0
384	0	2	0	0	0	1	1	0	0
385	0	2	1	0	1	0	0	0	0
386	1	0	0	0	0	1	1	0	0
387	0	2	1	0	1	0	0	0	0
388	1	0	0	0	0	1	1	0	0
389	0	2	1	0	1	0	0	0	0
390	0	2	0	0	0	1	1	0	0
391	0	2	0	0	1	0	0	0	0
392	2	2	0	0	0	0	0	1	1
393	0	2	0	0	0	1	1	0	0
394	0	2	0	0	0	1	1	0	0
395	0	2	0	0	0	1	1	0	0
396	0	2	1	0	1	0	0	0	0
397	0	2	0	0	1	0	0	0	0
398	1	1	0	0	0	0	0	0	0
399	2	3	0	0	0	0	0	0	0
400	1	2	0	0	0	1	1	0	0
401	0	2	1	0	1	0	0	0	0
402	0	2	0	0	0	1	1	0	0
403	0	2	0	0	1	0	0	0	0
404	0	2	0	0	0	1	1	0	0
405	0	2	0	0	0	1	1	0	0
406	1	2	1	0	1	0	0	0	0
407	1	2	0	0	0	0	1	0	0
408	1	2	1	0	1	0	0	0	0
409	0	2	0	0	0	1	1	0	0
410	0	2	0	0	0	1	1	0	0
411	1	2	1	0	1	0	0	0	0
