,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
114,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,30
115,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,30
116,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,31
117,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,31
118,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,31
119,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,31
120,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,32
121,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,32
122,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,32
123,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,33
124,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,33
125,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,33
126,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,33
127,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,34
128,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,34
129,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,34
130,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,34
131,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,35
132,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,35
133,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,35
134,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,35
135,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,36
136,29,internal,2,founder (j),A->B,A,A,B,8.2053815,30,41,36
137,30,internal,3,founder (j),B->A,B,B,A,8.029489,31,37,36
138,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,36
139,37,internal,3,founder (j),B->A,B,B,A,5.75728,38,12,36
140,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,36
141,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,37
142,31,internal,2,founder (j),A->A,B,A,B,7.249757,32,36,37
143,36,internal,3,founder (j),B->A,B,B,A,3.2364302,6,7,37
144,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,37
145,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,37
146,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,38
147,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,38
148,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,38
149,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,39
150,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,39
151,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,39
152,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,39
153,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,40
154,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,40
155,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,40
156,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,40
157,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,41
158,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,41
159,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,41
160,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,41
161,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,42
162,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,42
163,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,42
164,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,42
165,27,internal,7,founder (j),BC->A,BC,C,A,14.6110133,28,45,43
166,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,43
167,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,43
168,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,43
169,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,44
170,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,44
171,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,44
