,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
117,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,33
118,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,34
119,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,34
120,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,34
121,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,35
122,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,35
123,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,35
124,22,internal,4,founder (j),C->B,C,C,B,4.7854671,23,27,36
125,23,internal,3,founder (j),B->B,C,B,C,4.313334,24,26,36
126,24,internal,3,founder (j),B->C,B,B,C,2.2887183,25,3,36
127,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,36
128,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,36
129,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,37
130,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,37
131,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,37
132,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,38
133,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,38
134,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,38
135,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,39
136,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,39
137,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,39
138,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,40
139,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,40
140,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,40
141,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,41
142,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,41
143,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,41
144,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,42
145,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,42
