,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
179,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,27
180,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,27
181,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,27
182,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,27
183,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,28
184,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,28
185,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,28
186,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,28
187,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,28
188,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,28
189,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,29
190,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,29
191,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,29
192,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,29
193,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,29
194,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,29
195,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,30
196,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,30
197,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,30
198,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,30
199,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,30
200,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,30
201,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,31
202,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,31
203,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,31
204,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,31
205,45,internal,3,founder (j),B->A,B,B,A,1.6084318,46,18,31
206,46,internal,2,founder (j),A->A,B,A,B,0.859385,16,17,31
207,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,31
208,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,32
209,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,32
210,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,32
211,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,32
212,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,32
213,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,33
214,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,33
215,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,33
216,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,33
217,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,33
218,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,34
219,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,34
220,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,34
221,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,34
222,45,internal,3,founder (j),B->A,B,B,A,1.6084318,46,18,34
223,46,internal,2,founder (j),A->A,B,A,B,0.859385,16,17,34
224,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,34
225,27,internal,2,founder (j),A->A,B,A,B,5.6994331,28,42,35
226,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,35
227,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,35
228,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,35
229,42,internal,3,founder (j),B->B,A,B,A,4.1799539,43,21,35
230,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,35
231,27,internal,2,founder (j),A->A,B,A,B,5.6994331,28,42,36
232,28,internal,2,founder (j),A->C,A,A,C,4.4213959,29,41,36
233,29,internal,4,founder (j),C->C,A,C,A,3.362699,30,37,36
234,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,36
235,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,36
236,42,internal,3,founder (j),B->B,A,B,A,4.1799539,43,21,36
237,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,36
238,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,36
239,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,37
240,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,37
241,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,37
242,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,37
243,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,37
244,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,37
245,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,38
246,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,38
247,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,38
248,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,38
249,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,38
250,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,38
251,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,39
252,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,39
253,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,39
254,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,39
255,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,39
256,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,40
257,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,40
258,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,40
259,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,40
260,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,40
261,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,40
262,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,41
